,starting_age,retirement_age,death_year,sim_id,sex
1,50,50,2069,1,male
2,51,51,2068,1,male
3,52,52,2067,1,male
4,53,53,2066,1,male
5,54,54,2065,1,male
6,55,55,2064,1,male
7,56,56,2063,1,male
8,57,57,2061,1,male
9,58,58,2060,1,male
10,59,59,2059,1,male
11,60,60,2058,1,male
12,61,61,2057,1,male
13,62,62,2056,1,male
14,63,63,2055,1,male
15,64,64,2054,1,male
16,65,65,2053,1,male
17,66,66,2052,1,male
18,67,67,2051,1,male
19,68,68,2050,1,male
20,69,69,2049,1,male
21,70,70,2048,1,male
22,50,51,2054,1,male
23,51,52,2053,1,male
24,52,53,2052,1,male
25,53,54,2051,1,male
26,54,55,2050,1,male
27,55,56,2049,1,male
28,56,57,2048,1,male
29,57,58,2048,1,male
30,58,59,2047,1,male
31,59,60,2046,1,male
32,60,61,2045,1,male
33,61,62,2044,1,male
34,62,63,2043,1,male
35,63,64,2042,1,male
36,64,65,2041,1,male
37,65,66,2041,1,male
38,66,67,2040,1,male
39,67,68,2039,1,male
40,68,69,2038,1,male
41,69,70,2037,1,male
42,50,52,2066,1,male
43,51,53,2065,1,male
44,52,54,2064,1,male
45,53,55,2063,1,male
46,54,56,2062,1,male
47,55,57,2061,1,male
48,56,58,2060,1,male
49,57,59,2059,1,male
50,58,60,2058,1,male
51,59,61,2057,1,male
52,60,62,2056,1,male
53,61,63,2055,1,male
54,62,64,2054,1,male
55,63,65,2053,1,male
56,64,66,2052,1,male
57,65,67,2051,1,male
58,66,68,2050,1,male
59,67,69,2049,1,male
60,68,70,2048,1,male
61,50,53,2048,1,male
62,51,54,2047,1,male
63,52,55,2046,1,male
64,53,56,2045,1,male
65,54,57,2044,1,male
66,55,58,2044,1,male
67,56,59,2043,1,male
68,57,60,2042,1,male
69,58,61,2041,1,male
70,59,62,2041,1,male
71,60,63,2040,1,male
72,61,64,2039,1,male
73,62,65,2039,1,male
74,63,66,2038,1,male
75,64,67,2037,1,male
76,65,68,2037,1,male
77,66,69,2036,1,male
78,67,70,2036,1,male
79,50,54,2041,1,male
80,51,55,2041,1,male
81,52,56,2040,1,male
82,53,57,2040,1,male
83,54,58,2039,1,male
84,55,59,2038,1,male
85,56,60,2038,1,male
86,57,61,2037,1,male
87,58,62,2037,1,male
88,59,63,2036,1,male
89,60,64,2036,1,male
90,61,65,2036,1,male
91,62,66,2035,1,male
92,63,67,2035,1,male
93,64,68,2034,1,male
94,65,69,2034,1,male
95,66,70,2034,1,male
96,50,55,2076,1,male
97,51,56,2075,1,male
98,52,57,2074,1,male
99,53,58,2073,1,male
100,54,59,2072,1,male
