Australian Life Tables 2020-22: Females,,,,,,,,,,,,,,,,,,,
Age,lx,dx,px,qx,µx, e?x,Lx,Tx,,,,,,,,,,,
0," 100,000 ", 295 ,0.997050,0.002950,0.000000,85.34," 99,855 "," 8,533,919 ",,,,,,,,,,,
1," 99,705 ", 20 ,0.999798,0.000202,0.000280,84.59," 99,694 "," 8,434,064 ",,,,,,,,,,,
2," 99,685 ", 10 ,0.999895,0.000105,0.000139,83.61," 99,679 "," 8,334,370 ",,,,,,,,,,,
3," 99,674 ", 10 ,0.999903,0.000097,0.000094,82.62," 99,670 "," 8,234,691 ",,,,,,,,,,,
4," 99,665 ", 9 ,0.999912,0.000088,0.000093,81.62," 99,660 "," 8,135,021 ",,,,,,,,,,,
5," 99,656 ", 8 ,0.999921,0.000079,0.000083,80.63," 99,652 "," 8,035,361 ",,,,,,,,,,,
6," 99,648 ", 7 ,0.999929,0.000071,0.000075,79.64," 99,644 "," 7,935,709 ",,,,,,,,,,,
7," 99,641 ", 6 ,0.999936,0.000064,0.000067,78.64," 99,638 "," 7,836,064 ",,,,,,,,,,,
8," 99,635 ", 6 ,0.999942,0.000058,0.000061,77.65," 99,632 "," 7,736,427 ",,,,,,,,,,,
9," 99,629 ", 6 ,0.999944,0.000056,0.000056,76.65," 99,626 "," 7,636,795 ",,,,,,,,,,,
10," 99,623 ", 6 ,0.999943,0.000057,0.000056,75.66," 99,620 "," 7,537,169 ",,,,,,,,,,,
11," 99,618 ", 6 ,0.999938,0.000062,0.000059,74.66," 99,615 "," 7,437,548 ",,,,,,,,,,,
12," 99,611 ", 7 ,0.999928,0.000072,0.000066,73.67," 99,608 "," 7,337,934 ",,,,,,,,,,,
13," 99,604 ", 9 ,0.999913,0.000087,0.000079,72.67," 99,600 "," 7,238,326 ",,,,,,,,,,,
14," 99,596 ", 11 ,0.999892,0.000108,0.000096,71.68," 99,590 "," 7,138,726 ",,,,,,,,,,,
15," 99,585 ", 14 ,0.999864,0.000136,0.000121,70.68," 99,578 "," 7,039,136 ",,,,,,,,,,,
16," 99,571 ", 17 ,0.999828,0.000172,0.000153,69.69," 99,563 "," 6,939,557 ",,,,,,,,,,,
17," 99,554 ", 21 ,0.999791,0.000209,0.000192,68.71," 99,544 "," 6,839,994 ",,,,,,,,,,,
18," 99,533 ", 22 ,0.999774,0.000226,0.000220,67.72," 99,522 "," 6,740,450 ",,,,,,,,,,,
19," 99,511 ", 23 ,0.999765,0.000235,0.000232,66.74," 99,499 "," 6,640,928 ",,,,,,,,,,,
20," 99,487 ", 24 ,0.999760,0.000240,0.000238,65.75," 99,476 "," 6,541,429 ",,,,,,,,,,,
21," 99,464 ", 24 ,0.999758,0.000242,0.000241,64.77," 99,452 "," 6,441,953 ",,,,,,,,,,,
22," 99,440 ", 24 ,0.999757,0.000243,0.000243,63.78," 99,427 "," 6,342,502 ",,,,,,,,,,,
23," 99,415 ", 24 ,0.999756,0.000244,0.000244,62.80," 99,403 "," 6,243,074 ",,,,,,,,,,,
24," 99,391 ", 24 ,0.999755,0.000245,0.000244,61.81," 99,379 "," 6,143,671 ",,,,,,,,,,,
25," 99,367 ", 25 ,0.999751,0.000249,0.000247,60.83," 99,354 "," 6,044,292 ",,,,,,,,,,,
