Australian Life Tables 2020-22: Males,,,,,,,,,,,,,,,,,,,
Age,lx,dx,px,qx,µx, e?x,Lx,Tx,,,,,,,,,,,
0," 100,000 ", 339 ,0.996606,0.003394,0.000000,81.31," 99,832 "," 8,131,434 ",,,,,,,,,,,
1," 99,661 ", 20 ,0.999801,0.000199,0.000207,80.59," 99,651 "," 8,031,602 ",,,,,,,,,,,
2," 99,641 ", 17 ,0.999829,0.000171,0.000188,79.61," 99,632 "," 7,931,952 ",,,,,,,,,,,
3," 99,624 ", 12 ,0.999876,0.000124,0.000148,78.62," 99,617 "," 7,832,320 ",,,,,,,,,,,
4," 99,611 ", 9 ,0.999908,0.000092,0.000105,77.63," 99,607 "," 7,732,703 ",,,,,,,,,,,
5," 99,602 ", 8 ,0.999922,0.000078,0.000083,76.64," 99,598 "," 7,633,096 ",,,,,,,,,,,
6," 99,594 ", 7 ,0.999926,0.000074,0.000075,75.64," 99,591 "," 7,533,498 ",,,,,,,,,,,
7," 99,587 ", 7 ,0.999926,0.000074,0.000074,74.65," 99,583 "," 7,433,907 ",,,,,,,,,,,
8," 99,580 ", 7 ,0.999926,0.000074,0.000074,73.65," 99,576 "," 7,334,324 ",,,,,,,,,,,
9," 99,572 ", 7 ,0.999927,0.000073,0.000073,72.66," 99,569 "," 7,234,748 ",,,,,,,,,,,
10," 99,565 ", 7 ,0.999925,0.000075,0.000073,71.66," 99,561 "," 7,135,179 ",,,,,,,,,,,
11," 99,558 ", 8 ,0.999918,0.000082,0.000078,70.67," 99,554 "," 7,035,618 ",,,,,,,,,,,
12," 99,549 ", 10 ,0.999904,0.000096,0.000088,69.67," 99,545 "," 6,936,064 ",,,,,,,,,,,
13," 99,540 ", 12 ,0.999879,0.000121,0.000107,68.68," 99,534 "," 6,836,519 ",,,,,,,,,,,
14," 99,528 ", 16 ,0.999841,0.000159,0.000137,67.69," 99,520 "," 6,736,985 ",,,,,,,,,,,
15," 99,512 ", 22 ,0.999780,0.000220,0.000184,66.70," 99,502 "," 6,637,465 ",,,,,,,,,,,
16," 99,490 ", 32 ,0.999674,0.000326,0.000269,65.71," 99,475 "," 6,537,963 ",,,,,,,,,,,
17," 99,458 ", 44 ,0.999562,0.000438,0.000385,64.74," 99,437 "," 6,438,488 ",,,,,,,,,,,
18," 99,414 ", 51 ,0.999492,0.000508,0.000480,63.76," 99,389 "," 6,339,052 ",,,,,,,,,,,
19," 99,364 ", 54 ,0.999458,0.000542,0.000530,62.80," 99,337 "," 6,239,662 ",,,,,,,,,,,
20," 99,310 ", 56 ,0.999441,0.000559,0.000552,61.83," 99,282 "," 6,140,325 ",,,,,,,,,,,
21," 99,254 ", 57 ,0.999425,0.000575,0.000567,60.86," 99,226 "," 6,041,043 ",,,,,,,,,,,
22," 99,197 ", 59 ,0.999408,0.000592,0.000584,59.90," 99,168 "," 5,941,817 ",,,,,,,,,,,
23," 99,138 ", 60 ,0.999390,0.000610,0.000601,58.93," 99,108 "," 5,842,649 ",,,,,,,,,,,
24," 99,078 ", 62 ,0.999372,0.000628,0.000619,57.97," 99,047 "," 5,743,541 ",,,,,,,,,,,
25," 99,016 ", 64 ,0.999352,0.000648,0.000638,57.01," 98,984 "," 5,644,494 ",,,,,,,,,,,
26," 98,952 ", 66 ,0.999332,0.000668,0.000658,56.04," 98,919 "," 5,545,510 ",,,,,,,,,,,
27," 98,885 ", 68 ,0.999311,0.000689,0.000679,55.08," 98,852 "," 5,446,592 ",,,,,,,,,,,
28," 98,817 ", 70 ,0.999290,0.000710,0.000700,54.12," 98,782 "," 5,347,740 ",,,,,,,,,,,
29," 98,747 ", 72 ,0.999268,0.000732,0.000721,53.16," 98,711 "," 5,248,958 ",,,,,,,,,,,
30," 98,675 ", 74 ,0.999245,0.000755,0.000743,52.19," 98,638 "," 5,150,246 ",,,,,,,,,,,
31," 98,600 ", 77 ,0.999218,0.000782,0.000768,51.23," 98,562 "," 5,051,608 ",,,,,,,,,,,
32," 98,523 ", 80 ,0.999189,0.000811,0.000796,50.27," 98,484 "," 4,953,046 ",,,,,,,,,,,
33," 98,443 ", 83 ,0.999155,0.000845,0.000828,49.31," 98,402 "," 4,854,563 ",,,,,,,,,,,
34," 98,360 ", 87 ,0.999117,0.000883,0.000864,48.35," 98,317 "," 4,756,161 ",,,,,,,,,,,
35," 98,273 ", 91 ,0.999073,0.000927,0.000904,47.40," 98,228 "," 4,657,843 ",,,,,,,,,,,
36," 98,182 ", 96 ,0.999023,0.000977,0.000951,46.44," 98,135 "," 4,559,615 ",,,,,,,,,,,
37," 98,086 ", 101 ,0.998966,0.001034,0.001005,45.49," 98,036 "," 4,461,481 ",,,,,,,,,,,
38," 97,985 ", 108 ,0.998901,0.001099,0.001066,44.53," 97,932 "," 4,363,444 ",,,,,,,,,,,
39," 97,877 ", 115 ,0.998827,0.001173,0.001135,43.58," 97,820 "," 4,265,513 ",,,,,,,,,,,
40," 97,762 ", 123 ,0.998745,0.001255,0.001213,42.63," 97,702 "," 4,167,692 ",,,,,,,,,,,
41," 97,640 ", 132 ,0.998652,0.001348,0.001301,41.68," 97,575 "," 4,069,990 ",,,,,,,,,,,
42," 97,508 ", 142 ,0.998548,0.001452,0.001399,40.74," 97,438 "," 3,972,416 ",,,,,,,,,,,
43," 97,367 ", 153 ,0.998433,0.001567,0.001509,39.80," 97,291 "," 3,874,978 ",,,,,,,,,,,
44," 97,214 ", 165 ,0.998306,0.001694,0.001630,38.86," 97,133 "," 3,777,686 ",,,,,,,,,,,
45," 97,049 ", 178 ,0.998166,0.001834,0.001763,37.92," 96,961 "," 3,680,554 ",,,,,,,,,,,
46," 96,871 ", 193 ,0.998012,0.001988,0.001910,36.99," 96,776 "," 3,583,592 ",,,,,,,,,,,
47," 96,679 ", 208 ,0.997844,0.002156,0.002072,36.07," 96,576 "," 3,486,816 ",,,,,,,,,,,
48," 96,470 ", 226 ,0.997660,0.002340,0.002248,35.14," 96,359 "," 3,390,240 ",,,,,,,,,,,
49," 96,245 ", 244 ,0.997460,0.002540,0.002440,34.22," 96,124 "," 3,293,881 ",,,,,,,,,,,
50," 96,000 ", 265 ,0.997244,0.002756,0.002649,33.31," 95,870 "," 3,197,757 ",,,,,,,,,,,
51," 95,736 ", 286 ,0.997010,0.002990,0.002874,32.40," 95,594 "," 3,101,888 ",,,,,,,,,,,
52," 95,449 ", 310 ,0.996756,0.003244,0.003118,31.50," 95,296 "," 3,006,293 ",,,,,,,,,,,
53," 95,140 ", 335 ,0.996480,0.003520,0.003384,30.60," 94,974 "," 2,910,997 ",,,,,,,,,,,
54," 94,805 ", 362 ,0.996179,0.003821,0.003673,29.70," 94,626 "," 2,816,023 ",,,,,,,,,,,
55," 94,442 ", 392 ,0.995853,0.004147,0.003987,28.82," 94,249 "," 2,721,397 ",,,,,,,,,,,
56," 94,051 ", 424 ,0.995497,0.004503,0.004329,27.93," 93,842 "," 2,627,147 ",,,,,,,,,,,
57," 93,627 ", 458 ,0.995109,0.004891,0.004703,27.06," 93,401 "," 2,533,306 ",,,,,,,,,,,
58," 93,169 ", 495 ,0.994689,0.005311,0.005108,26.19," 92,925 "," 2,439,904 ",,,,,,,,,,,
59," 92,675 ", 535 ,0.994232,0.005768,0.005549,25.32," 92,411 "," 2,346,979 ",,,,,,,,,,,
60," 92,140 ", 577 ,0.993738,0.006262,0.006027,24.47," 91,855 "," 2,254,568 ",,,,,,,,,,,
61," 91,563 ", 622 ,0.993203,0.006797,0.006544,23.62," 91,256 "," 2,162,713 ",,,,,,,,,,,
62," 90,941 ", 671 ,0.992626,0.007374,0.007103,22.78," 90,610 "," 2,071,457 ",,,,,,,,,,,
63," 90,270 ", 722 ,0.992004,0.007996,0.007707,21.94," 89,914 "," 1,980,848 ",,,,,,,,,,,
64," 89,548 ", 776 ,0.991332,0.008668,0.008357,21.12," 89,165 "," 1,890,934 ",,,,,,,,,,,
65," 88,772 ", 835 ,0.990597,0.009403,0.009064,20.30," 88,360 "," 1,801,770 ",,,,,,,,,,,
66," 87,937 ", 899 ,0.989780,0.010220,0.009845,19.48," 87,494 "," 1,713,410 ",,,,,,,,,,,
67," 87,039 ", 969 ,0.988866,0.011134,0.010717,18.68," 86,560 "," 1,625,916 ",,,,,,,,,,,
68," 86,070 "," 1,047 ",0.987837,0.012163,0.011696,17.89," 85,553 "," 1,539,356 ",,,,,,,,,,,
69," 85,023 "," 1,133 ",0.986677,0.013323,0.012801,17.10," 84,464 "," 1,453,803 ",,,,,,,,,,,
70," 83,890 "," 1,227 ",0.985370,0.014630,0.014049,16.32," 83,285 "," 1,369,339 ",,,,,,,,,,,
71," 82,663 "," 1,331 ",0.983898,0.016102,0.015456,15.56," 82,006 "," 1,286,055 ",,,,,,,,,,,
72," 81,332 "," 1,444 ",0.982241,0.017759,0.017040,14.80," 80,619 "," 1,204,049 ",,,,,,,,,,,
73," 79,887 "," 1,570 ",0.980352,0.019648,0.018837,14.06," 79,113 "," 1,123,429 ",,,,,,,,,,,
74," 78,318 "," 1,709 ",0.978181,0.021819,0.020899,13.33," 77,475 "," 1,044,316 ",,,,,,,,,,,
75," 76,609 "," 1,863 ",0.975679,0.024321,0.023280,12.62," 75,691 "," 966,840 ",,,,,,,,,,,
76," 74,746 "," 2,033 ",0.972796,0.027204,0.026031,11.92," 73,744 "," 891,150 ",,,,,,,,,,,
77," 72,712 "," 2,219 ",0.969485,0.030515,0.029207,11.24," 71,619 "," 817,406 ",,,,,,,,,,,
78," 70,493 "," 2,418 ",0.965699,0.034301,0.032859,10.58," 69,301 "," 745,787 ",,,,,,,,,,,
79," 68,075 "," 2,628 ",0.961392,0.038608,0.037041,9.94," 66,779 "," 676,486 ",,,,,,,,,,,
80," 65,447 "," 2,846 ",0.956520,0.043480,0.041807,9.32," 64,043 "," 609,707 ",,,,,,,,,,,
81," 62,601 "," 3,066 ",0.951026,0.048974,0.047210,8.72," 61,087 "," 545,664 ",,,,,,,,,,,
82," 59,536 "," 3,287 ",0.944784,0.055216,0.053357,8.14," 57,910 "," 484,577 ",,,,,,,,,,,
83," 56,248 "," 3,507 ",0.937659,0.062341,0.060408,7.59," 54,513 "," 426,666 ",,,,,,,,,,,
84," 52,742 "," 3,717 ",0.929521,0.070479,0.068525,7.06," 50,900 "," 372,153 ",,,,,,,,,,,
85," 49,025 "," 3,910 ",0.920250,0.079750,0.077868,6.55," 47,085 "," 321,253 ",,,,,,,,,,,
86," 45,115 "," 4,072 ",0.909735,0.090265,0.088599,6.08," 43,091 "," 274,169 ",,,,,,,,,,,
87," 41,043 "," 4,192 ",0.897874,0.102126,0.100878,5.63," 38,955 "," 231,078 ",,,,,,,,,,,
88," 36,851 "," 4,253 ",0.884580,0.115420,0.114870,5.21," 34,727 "," 192,123 ",,,,,,,,,,,
89," 32,598 "," 4,245 ",0.869781,0.130219,0.130744,4.83," 30,471 "," 157,397 ",,,,,,,,,,,
90," 28,353 "," 4,152 ",0.853554,0.146446,0.148630,4.48," 26,265 "," 126,925 ",,,,,,,,,,,
91," 24,201 "," 3,957 ",0.836505,0.163495,0.168244,4.16," 22,202 "," 100,660 ",,,,,,,,,,,
92," 20,244 "," 3,658 ",0.819325,0.180675,0.188830,3.88," 18,386 "," 78,459 ",,,,,,,,,,,
93," 16,586 "," 3,276 ",0.802515,0.197485,0.209644,3.62," 14,914 "," 60,072 ",,,,,,,,,,,
94," 13,311 "," 2,848 ",0.786004,0.213996,0.230390,3.39," 11,850 "," 45,158 ",,,,,,,,,,,
95," 10,462 "," 2,411 ",0.769603,0.230397,0.251294,3.18," 9,221 "," 33,308 ",,,,,,,,,,,
96," 8,052 "," 1,988 ",0.753144,0.246856,0.272595,2.99," 7,024 "," 24,087 ",,,,,,,,,,,
97," 6,064 "," 1,600 ",0.736196,0.263804,0.294676,2.81," 5,234 "," 17,063 ",,,,,,,,,,,
98," 4,464 "," 1,258 ",0.718290,0.281710,0.318301,2.65," 3,809 "," 11,829 ",,,,,,,,,,,
99," 3,207 ", 962 ,0.700006,0.299994,0.343652,2.50," 2,703 "," 8,020 ",,,,,,,,,,,
100," 2,245 ", 714 ,0.681954,0.318046,0.369781,2.37," 1,869 "," 5,317 ",,,,,,,,,,,
101," 1,531 ", 513 ,0.664796,0.335204,0.395786,2.25," 1,259 "," 3,448 ",,,,,,,,,,,
102," 1,018 ", 357 ,0.649229,0.350771,0.420507,2.15, 828 ," 2,188 ",,,,,,,,,,,
103, 661 , 242 ,0.634448,0.365552,0.443615,2.06, 532 ," 1,360 ",,,,,,,,,,,
104, 419 , 159 ,0.620372,0.379628,0.466267,1.98, 334 , 829 ,,,,,,,,,,,
105, 260 , 102 ,0.606977,0.393023,0.488306,1.90, 205 , 495 ,,,,,,,,,,,
106, 158 , 64 ,0.594237,0.405763,0.509701,1.83, 123 , 290 ,,,,,,,,,,,
107, 94 , 39 ,0.582126,0.417874,0.530444,1.77, 73 , 166 ,,,,,,,,,,,
108, 55 , 23 ,0.570620,0.429380,0.550526,1.72, 42 , 94 ,,,,,,,,,,,
109, 31 , 14 ,0.559693,0.440307,0.569939,1.67, 24 , 52 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
