Measured percentage mortality improvement factors,,,,,,,,,
,Males,,Females,,,,,,
Age,25 year,125 year,25 year ,125 year,,,,,
0,-2.3067,-2.7797,-2.0733,-2.7682,,,,,
1,-3.9406,-3.8038,-3.2556,-3.7445,,,,,
2,-3.7302,-3.1589,-3.4173,-3.5187,,,,,
3,-3.6344,-3.0657,-3.2458,-3.2396,,,,,
4,-3.5898,-3.1150,-2.9037,-3.1351,,,,,
5,-3.4909,-3.0727,-2.6432,-3.0433,,,,,
6,-3.2797,-2.9667,-2.5601,-2.9772,,,,,
7,-3.0312,-2.8695,-2.6464,-2.9488,,,,,
8,-2.8339,-2.7852,-2.8594,-2.9241,,,,,
9,-2.7003,-2.7307,-3.0877,-2.8678,,,,,
10,-2.6083,-2.6633,-3.2146,-2.7842,,,,,
11,-2.4952,-2.5555,-3.1805,-2.6549,,,,,
12,-2.3700,-2.4336,-2.9684,-2.5180,,,,,
13,-2.2621,-2.3101,-2.5914,-2.4136,,,,,
14,-2.1971,-2.1721,-2.1576,-2.3423,,,,,
15,-2.2007,-2.0259,-1.8171,-2.2779,,,,,
16,-2.2937,-1.8180,-1.6956,-2.2171,,,,,
17,-2.4748,-1.6793,-1.8015,-2.1567,,,,,
18,-2.7106,-1.6418,-2.0622,-2.1489,,,,,
19,-2.8875,-1.6535,-2.2432,-2.1639,,,,,
20,-2.9700,-1.6806,-2.2398,-2.1845,,,,,
21,-2.9579,-1.7065,-2.0364,-2.2284,,,,,
22,-2.8872,-1.7290,-1.7909,-2.2777,,,,,
23,-2.7971,-1.7483,-1.6596,-2.3253,,,,,
24,-2.7025,-1.7688,-1.6251,-2.3698,,,,,
25,-2.6087,-1.7726,-1.6481,-2.4021,,,,,
26,-2.5190,-1.7750,-1.6942,-2.4289,,,,,
27,-2.4335,-1.7762,-1.7326,-2.4329,,,,,
28,-2.3520,-1.7680,-1.7580,-2.4160,,,,,
29,-2.2742,-1.7557,-1.7707,-2.3940,,,,,
30,-2.1980,-1.7497,-1.7663,-2.3761,,,,,
31,-2.1212,-1.7443,-1.7397,-2.3564,,,,,
32,-2.0424,-1.7352,-1.6866,-2.3366,,,,,
33,-1.9609,-1.7302,-1.6061,-2.3079,,,,,
34,-1.8758,-1.7251,-1.5005,-2.2759,,,,,
35,-1.7868,-1.7162,-1.3821,-2.2358,,,,,
36,-1.6934,-1.7032,-1.2636,-2.1872,,,,,
37,-1.5958,-1.6851,-1.1510,-2.1404,,,,,
38,-1.4949,-1.6637,-1.0490,-2.0859,,,,,
39,-1.3916,-1.6381,-0.9615,-2.0177,,,,,
40,-1.2878,-1.6091,-0.8898,-1.9335,,,,,
41,-1.1867,-1.5771,-0.8358,-1.8488,,,,,
42,-1.0920,-1.5452,-0.8013,-1.7792,,,,,
43,-1.0076,-1.5196,-0.7873,-1.7272,,,,,
44,-0.9371,-1.4941,-0.7935,-1.6929,,,,,
45,-0.8838,-1.4686,-0.8160,-1.6612,,,,,
46,-0.8568,-1.4442,-0.8532,-1.6264,,,,,
47,-0.8633,-1.4170,-0.9039,-1.5907,,,,,
