NT, Death rates (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.064275        0.067175        0.065766
  1971           1             0.015514        0.011724        0.013590
  1971           2             0.004935        0.000800        0.002844
  1971           3             0.000000        0.001627        0.000827
  1971           4             0.000000        0.000000        0.000000
  1971           5             0.001891        0.002630        0.002272
  1971           6             0.000000        0.000000        0.000000
  1971           7             0.000000        0.000000        0.000000
  1971           8             0.000000        0.000000        0.000000
  1971           9             0.001095        0.002059        0.001587
  1971          10             0.000000        0.000000        0.000000
  1971          11             0.000000        0.002289        0.001190
  1971          12             0.000000        0.000000        0.000000
  1971          13             0.000000        0.000000        0.000000
  1971          14             0.000000        0.006177        0.003106
  1971          15             0.003385        0.006515        0.004970
  1971          16             0.000000        0.006757        0.003393
  1971          17             0.005229        0.006401        0.005837
  1971          18             0.001609        0.002809        0.002246
  1971          19             0.001429        0.001238        0.001327
  1971          20             0.003762        0.001051        0.002296
  1971          21             0.004449        0.003741        0.004067
  1971          22             0.000000        0.001654        0.000905
  1971          23             0.003868        0.003901        0.003886
  1971          24             0.001923        0.002229        0.002095
  1971          25             0.003011        0.003644        0.003375
  1971          26             0.004208        0.001537        0.002671
  1971          27             0.000000        0.003230        0.001878
  1971          28             0.000000        0.003436        0.002012
  1971          29             0.002719        0.000897        0.001630
  1971          30             0.002835        0.000930        0.001692
  1971          31             0.000000        0.002879        0.001741
  1971          32             0.006659        0.001067        0.003272
  1971          33             0.005518        0.002338        0.003586
  1971          34             0.005495        0.002511        0.003733
  1971          35             0.000000        0.002630        0.001548
  1971          36             0.001963        0.001334        0.001590
  1971          37             0.009127        0.003009        0.005455
  1971          38             0.005024        0.009654        0.007826
  1971          39             0.002437        0.001560        0.001906
  1971          40             0.002545        0.003210        0.002952
  1971          41             0.009906        0.006014        0.007498
  1971          42             0.005522        0.000000        0.002109
  1971          43             0.002847        0.003577        0.003294
  1971          44             0.002789        0.001841        0.002223
  1971          45             0.011337        0.011157        0.011229
  1971          46             0.015072        0.013447        0.014085
  1971          47             0.003318        0.010540        0.007703
  1971          48             0.007856        0.004758        0.005937
  1971          49             0.013825        0.011575        0.012486
  1971          50             0.013901        0.011597        0.012526
  1971          51             0.017677        0.009571        0.012869
  1971          52             0.012524        0.020205        0.017040
  1971          53             0.015861        0.018721        0.017527
  1971          54             0.016000        0.027347        0.022512
  1971          55             0.005494        0.024021        0.016181
  1971          56             0.039028        0.003966        0.018587
  1971          57             0.019753        0.008545        0.012986
  1971          58             0.008180        0.004844        0.006092
  1971          59             0.007929        0.020716        0.015611
  1971          60             0.029344        0.005418        0.015683
  1971          61             0.082390        0.037003        0.057644
  1971          62             0.000000        0.021484        0.012108
  1971          63             0.047594        0.009322        0.026298
  1971          64             0.047483        0.042416        0.044544
  1971          65             0.048150        0.070275        0.060860
  1971          66             0.047007        0.082262        0.067614
  1971          67             0.000000        0.020731        0.012370
  1971          68             0.062744        0.013046        0.032332
  1971          69             0.020844        0.042499        0.033685
  1971          70             0.081830        0.075000        0.077979
  1971          71             0.049693        0.035796        0.041660
  1971          72             0.053691        0.028843        0.040002
  1971          73             0.000000        0.141728        0.077308
  1971          74             0.000000        0.230913        0.120426
  1971          75             0.197656        0.214841        0.207063
  1971          76             0.000000        0.157881        0.094158
  1971          77             0.000000        0.222685        0.125322
  1971          78             0.000000        0.160775        0.096868
  1971          79             0.187654        0.160064        0.172855
  1971          80             0.097185        0.000000        0.053361
  1971          81             0.000000        0.187477        0.102582
  1971          82             0.286183        0.000000        0.113936
  1971          83             0.274445        0.220432        0.244667
  1971          84             0.000000        0.000000        0.000000
  1971          85             0.103749        0.000000        0.048164
  1971          86             0.261881        0.509638        0.361972
  1971          87             0.000000        0.000000        0.000000
  1971          88             0.000000        0.769493        0.206211
  1971          89             0.623803        0.000000        0.273054
  1971          90             0.619847        0.190476        0.355425
  1971          91             0.000000        0.806452        0.268097
  1971          92             0.000000        0.000000        0.000000
  1971          93             2.000000        1.282051        1.565049
  1971          94             0.000000        0.000000        0.000000
  1971          95             0.000000        0.000000        0.000000
  1971          96             0.000000        0.000000        0.000000
  1971          97             0.000000        0.000000        0.000000
  1971          98             0.000000        0.000000        0.000000
  1971          99                   .        0.000000        0.000000
  1971         100                   .        0.000000        0.000000
  1971         101                   .        0.000000        0.000000
  1971         102                   .              .              .
  1971         103                   .              .              .
  1971         104                   .              .              .
  1971         105                   .              .              .
  1971         106                   .              .              .
  1971         107                   .              .              .
  1971         108                   .              .              .
  1971         109                   .              .              .
  1971         110+                  .              .              .
  1972           0             0.035432        0.046640        0.041184
  1972           1             0.006151        0.005726        0.005931
  1972           2             0.006281        0.002981        0.004588
  1972           3             0.003166        0.000774        0.001957
  1972           4             0.003325        0.001584        0.002433
  1972           5             0.000862        0.001603        0.001246
  1972           6             0.000000        0.002603        0.001328
  1972           7             0.000000        0.000000        0.000000
  1972           8             0.000000        0.000957        0.000498
  1972           9             0.000000        0.000982        0.000499
  1972          10             0.000000        0.000000        0.000000
  1972          11             0.000000        0.004206        0.002179
  1972          12             0.000000        0.000000        0.000000
  1972          13             0.000000        0.000000        0.000000
  1972          14             0.000000        0.000000        0.000000
  1972          15             0.001449        0.002837        0.002151
  1972          16             0.000000        0.004399        0.002208
  1972          17             0.001462        0.004402        0.002929
  1972          18             0.001486        0.005369        0.003526
  1972          19             0.005499        0.003588        0.004477
  1972          20             0.001236        0.004195        0.002837
  1972          21             0.000000        0.003754        0.002027
  1972          22             0.000000        0.004117        0.002235
  1972          23             0.002731        0.002320        0.002509
  1972          24             0.003413        0.002234        0.002783
  1972          25             0.000859        0.000694        0.000768
  1972          26             0.001821        0.002106        0.001982
  1972          27             0.000000        0.000734        0.000419
  1972          28             0.001035        0.001584        0.001346
  1972          29             0.003427        0.000000        0.001456
  1972          30             0.000000        0.000903        0.000531
  1972          31             0.000000        0.001808        0.001067
  1972          32             0.004155        0.000947        0.002250
  1972          33             0.000000        0.002085        0.001268
  1972          34             0.003562        0.004603        0.004194
  1972          35             0.000000        0.002497        0.001480
  1972          36             0.007149        0.001248        0.003675
  1972          37             0.003718        0.007787        0.006114
  1972          38             0.009038        0.003021        0.005432
  1972          39             0.009480        0.004736        0.006632
  1972          40             0.005012        0.011705        0.009027
  1972          41             0.000000        0.004641        0.002796
  1972          42             0.009366        0.007598        0.008294
  1972          43             0.000000        0.001720        0.001057
  1972          44             0.011002        0.005535        0.007730
  1972          45             0.005427        0.015140        0.011150
  1972          46             0.011049        0.013035        0.012235
  1972          47             0.005391        0.023913        0.016400
  1972          48             0.010399        0.002151        0.005309
  1972          49             0.007339        0.007026        0.007148
  1972          50             0.000000        0.007344        0.004380
  1972          51             0.006814        0.011336        0.009529
  1972          52             0.020078        0.004500        0.010763
  1972          53             0.017314        0.014515        0.015639
  1972          54             0.020343        0.018242        0.019120
  1972          55             0.000000        0.011742        0.006742
  1972          56             0.005249        0.003976        0.004525
  1972          57             0.043475        0.037102        0.039870
  1972          58             0.019416        0.008583        0.012902
  1972          59             0.007689        0.014668        0.011955
  1972          60             0.030443        0.010524        0.018666
  1972          61             0.006712        0.038570        0.024207
  1972          62             0.026668        0.005747        0.015432
  1972          63             0.018265        0.022472        0.020577
  1972          64             0.035717        0.036201        0.035992
  1972          65             0.052297        0.037918        0.043962
  1972          66             0.046519        0.017778        0.030229
  1972          67             0.052919        0.024592        0.036955
  1972          68             0.046882        0.010472        0.025080
  1972          69             0.071446        0.013334        0.034192
