QLD, Death rates (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.017941        0.021398        0.019705
  1971           1             0.001473        0.001205        0.001336
  1971           2             0.000886        0.001120        0.001005
  1971           3             0.001070        0.000704        0.000883
  1971           4             0.000116        0.000827        0.000480
  1971           5             0.000175        0.000331        0.000255
  1971           6             0.000518        0.000715        0.000619
  1971           7             0.000167        0.000692        0.000436
  1971           8             0.000107        0.000359        0.000236
  1971           9             0.000053        0.000354        0.000208
  1971          10             0.000159        0.000354        0.000259
  1971          11             0.000161        0.000458        0.000314
  1971          12             0.000164        0.000363        0.000266
  1971          13             0.000166        0.000531        0.000353
  1971          14             0.000170        0.001087        0.000639
  1971          15             0.000642        0.000840        0.000743
  1971          16             0.000833        0.001852        0.001350
  1971          17             0.000608        0.001680        0.001147
  1971          18             0.000931        0.002029        0.001483
  1971          19             0.000695        0.003258        0.001995
  1971          20             0.000962        0.002651        0.001823
  1971          21             0.001114        0.002010        0.001572
  1971          22             0.000397        0.002132        0.001288
  1971          23             0.000598        0.001442        0.001032
  1971          24             0.001085        0.001900        0.001506
  1971          25             0.000611        0.001664        0.001153
  1971          26             0.000901        0.001125        0.001017
  1971          27             0.000539        0.001828        0.001200
  1971          28             0.000973        0.001925        0.001461
  1971          29             0.001453        0.001442        0.001447
  1971          30             0.000699        0.001957        0.001350
  1971          31             0.001080        0.002024        0.001567
  1971          32             0.001111        0.001854        0.001491
  1971          33             0.000937        0.001697        0.001326
  1971          34             0.001726        0.001631        0.001677
  1971          35             0.001346        0.002380        0.001875
  1971          36             0.001084        0.001970        0.001538
  1971          37             0.001317        0.002753        0.002045
  1971          38             0.001442        0.002341        0.001904
  1971          39             0.001672        0.003652        0.002686
  1971          40             0.002456        0.002970        0.002720
  1971          41             0.002830        0.003226        0.003033
  1971          42             0.002395        0.003907        0.003171
  1971          43             0.002746        0.004860        0.003830
  1971          44             0.002620        0.005411        0.004053
  1971          45             0.003897        0.004585        0.004250
  1971          46             0.003662        0.005741        0.004733
  1971          47             0.003621        0.005217        0.004435
  1971          48             0.005210        0.007084        0.006170
  1971          49             0.003553        0.007380        0.005503
  1971          50             0.005115        0.008049        0.006613
  1971          51             0.004927        0.010041        0.007510
  1971          52             0.006834        0.011149        0.009008
  1971          53             0.004485        0.009775        0.007108
  1971          54             0.008169        0.012558        0.010346
  1971          55             0.006512        0.016733        0.011603
  1971          56             0.009492        0.014500        0.011992
  1971          57             0.007661        0.015079        0.011387
  1971          58             0.008715        0.017828        0.013264
  1971          59             0.010088        0.020109        0.015063
  1971          60             0.012725        0.020558        0.016630
  1971          61             0.012926        0.023716        0.018212
  1971          62             0.012641        0.027162        0.019845
  1971          63             0.011905        0.027186        0.019454
  1971          64             0.012512        0.032898        0.022652
  1971          65             0.015262        0.033467        0.024245
  1971          66             0.014478        0.034532        0.024348
  1971          67             0.020058        0.036639        0.028136
  1971          68             0.020918        0.037547        0.029021
  1971          69             0.024324        0.043475        0.033439
  1971          70             0.022955        0.049911        0.035523
  1971          71             0.029666        0.053954        0.040741
  1971          72             0.027854        0.054701        0.039942
  1971          73             0.037820        0.068124        0.051042
  1971          74             0.036357        0.069218        0.050409
  1971          75             0.047314        0.079557        0.060821
  1971          76             0.047111        0.079769        0.060548
  1971          77             0.054034        0.102218        0.073682
  1971          78             0.068680        0.099402        0.081233
  1971          79             0.075035        0.102162        0.086099
  1971          80             0.071867        0.116465        0.089723
  1971          81             0.082202        0.120218        0.097251
  1971          82             0.095038        0.151319        0.117052
  1971          83             0.100943        0.146609        0.118711
  1971          84             0.116824        0.169324        0.136929
  1971          85             0.154236        0.156313        0.155013
  1971          86             0.137955        0.186840        0.155808
  1971          87             0.162840        0.203433        0.177374
  1971          88             0.167532        0.223002        0.187181
  1971          89             0.217329        0.280848        0.238454
  1971          90             0.204722        0.259032        0.221707
  1971          91             0.203770        0.288058        0.230038
  1971          92             0.242976        0.258427        0.247611
  1971          93             0.310949        0.356755        0.323918
  1971          94             0.370084        0.337732        0.361061
  1971          95             0.378017        0.200573        0.329442
  1971          96             0.452403        0.399567        0.439489
  1971          97             0.272795        0.210011        0.260800
  1971          98             0.362052        0.400089        0.370866
  1971          99             0.248679        0.300150        0.263756
  1971         100             0.602342        0.274600        0.527870
  1971         101             0.675506        0.000000        0.581731
  1971         102             0.767880              .        0.767880
  1971         103             0.917416              .        0.917416
  1971         104             1.420719              .        1.420719
  1971         105             4.193548              .        4.193548
  1971         106                   .              .              .
  1971         107                   .              .              .
  1971         108                   .              .              .
  1971         109                   .              .              .
  1971         110+                  .              .              .
  1972           0             0.015627        0.019860        0.017784
  1972           1             0.001404        0.001404        0.001404
  1972           2             0.000961        0.000866        0.000913
  1972           3             0.000486        0.001145        0.000822
  1972           4             0.000554        0.000693        0.000625
  1972           5             0.000170        0.000429        0.000304
  1972           6             0.000404        0.000766        0.000590
  1972           7             0.000345        0.000055        0.000197
  1972           8             0.000386        0.000369        0.000377
  1972           9             0.000639        0.000253        0.000441
  1972          10             0.000315        0.000550        0.000435
  1972          11             0.000261        0.000249        0.000255
  1972          12             0.000159        0.000650        0.000412
  1972          13             0.000484        0.000307        0.000393
  1972          14             0.000381        0.000684        0.000535
  1972          15             0.000562        0.000540        0.000551
  1972          16             0.000635        0.001490        0.001072
  1972          17             0.001116        0.001930        0.001530
  1972          18             0.000359        0.002728        0.001549
  1972          19             0.000367        0.002711        0.001547
  1972          20             0.000684        0.002147        0.001431
  1972          21             0.000953        0.002123        0.001551
  1972          22             0.000516        0.002325        0.001444
  1972          23             0.000785        0.001799        0.001306
  1972          24             0.000862        0.001991        0.001444
  1972          25             0.000572        0.001503        0.001050
  1972          26             0.000802        0.001438        0.001130
  1972          27             0.000435        0.001149        0.000804
  1972          28             0.000669        0.001266        0.000975
  1972          29             0.000872        0.001436        0.001160
  1972          30             0.000910        0.001091        0.001003
  1972          31             0.000765        0.000866        0.000817
  1972          32             0.001146        0.002147        0.001663
  1972          33             0.001074        0.002057        0.001576
  1972          34             0.000923        0.002380        0.001669
  1972          35             0.001125        0.002755        0.001962
  1972          36             0.001405        0.002104        0.001766
  1972          37             0.001533        0.002388        0.001970
  1972          38             0.001114        0.002145        0.001639
  1972          39             0.001526        0.002882        0.002224
  1972          40             0.001800        0.002925        0.002379
  1972          41             0.002296        0.003348        0.002837
  1972          42             0.002941        0.003769        0.003367
  1972          43             0.002679        0.003986        0.003350
  1972          44             0.002517        0.005050        0.003815
  1972          45             0.002640        0.006001        0.004364
  1972          46             0.004501        0.005262        0.004894
  1972          47             0.004889        0.005159        0.005028
  1972          48             0.004314        0.007465        0.005920
  1972          49             0.003735        0.006043        0.004915
  1972          50             0.005116        0.009386        0.007303
  1972          51             0.006013        0.008611        0.007332
  1972          52             0.004244        0.011988        0.008171
  1972          53             0.006063        0.011169        0.008628
  1972          54             0.005452        0.012082        0.008737
  1972          55             0.006483        0.013601        0.010000
  1972          56             0.008243        0.015463        0.011808
  1972          57             0.008875        0.017246        0.013042
  1972          58             0.008191        0.019390        0.013766
  1972          59             0.010168        0.017303        0.013683
  1972          60             0.010460        0.021112        0.015762
  1972          61             0.008909        0.022246        0.015482
  1972          62             0.011852        0.025458        0.018499
  1972          63             0.015631        0.027916        0.021674
  1972          64             0.014302        0.038673        0.026307
  1972          65             0.014443        0.037675        0.025892
  1972          66             0.015288        0.034382        0.024675
  1972          67             0.021774        0.044238        0.032611
  1972          68             0.022865        0.040904        0.031592
  1972          69             0.022976        0.040711        0.031552
  1972          70             0.028188        0.048006        0.037597
  1972          71             0.028817        0.050972        0.038960
  1972          72             0.032989        0.063407        0.046709
  1972          73             0.034515        0.065675        0.048310
  1972          74             0.041308        0.071261        0.054174
  1972          75             0.046526        0.071550        0.057109
  1972          76             0.046943        0.085571        0.062803
  1972          77             0.054822        0.093403        0.070244
  1972          78             0.061015        0.101353        0.077055
  1972          79             0.073765        0.110260        0.088202
  1972          80             0.074840        0.110149        0.088768
  1972          81             0.080632        0.124554        0.097794
  1972          82             0.092973        0.141962        0.111827
  1972          83             0.102878        0.135021        0.115094
  1972          84             0.117705        0.150925        0.130317
  1972          85             0.126132        0.160916        0.139195
  1972          86             0.157143        0.188418        0.168644
  1972          87             0.158918        0.176066        0.165039
  1972          88             0.159430        0.205107        0.175375
  1972          89             0.190199        0.245344        0.209092
  1972          90             0.206520        0.235883        0.215936
  1972          91             0.224084        0.266485        0.236834
  1972          92             0.220964        0.344101        0.257678
  1972          93             0.263391        0.383565        0.297576
  1972          94             0.261623        0.278802        0.266312
  1972          95             0.282429        0.299738        0.287408
  1972          96             0.308230        0.305402        0.307416
  1972          97             0.247108        0.348392        0.271801
  1972          98             0.682880        0.000000        0.544751
  1972          99             0.387388        0.349447        0.377151
  1972         100             0.498303        0.479333        0.492281
  1972         101             0.553735        0.494208        0.537518
  1972         102             0.656080        0.567568        0.641239
  1972         103             0.813653              .        0.813653
  1972         104             1.194508              .        1.194508
  1972         105             6.000000              .        6.000000
  1972         106                   .              .              .
  1972         107                   .              .              .
  1972         108                   .              .              .
  1972         109                   .              .              .
  1972         110+                  .              .              .
  1973           0             0.015346        0.019153        0.017294
  1973           1             0.002050        0.001633        0.001838
  1973           2             0.000457        0.001418        0.000946
  1973           3             0.000416        0.000546        0.000482
  1973           4             0.000951        0.000610        0.000777
  1973           5             0.000382        0.000677        0.000533
  1973           6             0.000559        0.000684        0.000624
  1973           7             0.000170        0.000322        0.000248
  1973           8             0.000283        0.000054        0.000166
  1973           9             0.000325        0.000414        0.000371
  1973          10             0.000157        0.000349        0.000256
  1973          11             0.000259        0.000345        0.000303
  1973          12             0.000103        0.000833        0.000477
  1973          13             0.000052        0.000741        0.000407
  1973          14             0.000106        0.000507        0.000311
  1973          15             0.000325        0.000996        0.000665
  1973          16             0.000839        0.001238        0.001042
  1973          17             0.000689        0.002086        0.001403
