ACT, Death rates (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.012555        0.026512        0.019690
  1971           1             0.001640        0.002054        0.001854
  1971           2             0.000000        0.000000        0.000000
  1971           3             0.000606        0.001123        0.000875
  1971           4             0.000000        0.001159        0.000602
  1971           5             0.000000        0.000000        0.000000
  1971           6             0.002444        0.001799        0.002118
  1971           7             0.000000        0.000000        0.000000
  1971           8             0.000000        0.000000        0.000000
  1971           9             0.000000        0.000000        0.000000
  1971          10             0.000000        0.000000        0.000000
  1971          11             0.000000        0.001203        0.000621
  1971          12             0.000000        0.001288        0.000655
  1971          13             0.000000        0.000000        0.000000
  1971          14             0.000000        0.000000        0.000000
  1971          15             0.001499        0.000000        0.000750
  1971          16             0.000000        0.003112        0.001543
  1971          17             0.002971        0.000000        0.001477
  1971          18             0.000000        0.005477        0.002722
  1971          19             0.001243        0.002512        0.001874
  1971          20             0.001798        0.000622        0.001221
  1971          21             0.000000        0.002413        0.001202
  1971          22             0.000000        0.000000        0.000000
  1971          23             0.000000        0.002779        0.001403
  1971          24             0.000000        0.001112        0.000561
  1971          25             0.001731        0.002786        0.002268
  1971          26             0.000000        0.001233        0.000642
  1971          27             0.002083        0.000000        0.001019
  1971          28             0.000000        0.001348        0.000697
  1971          29             0.000755        0.000000        0.000372
  1971          30             0.003208        0.002896        0.003044
  1971          31             0.000816        0.000000        0.000398
  1971          32             0.000000        0.001546        0.000805
  1971          33             0.000858        0.000826        0.000842
  1971          34             0.002778        0.003451        0.003126
  1971          35             0.000959        0.002716        0.001862
  1971          36             0.000000        0.000927        0.000486
  1971          37             0.001070        0.003887        0.002546
  1971          38             0.005421        0.001003        0.003126
  1971          39             0.003293        0.000000        0.001566
  1971          40             0.002199        0.001974        0.002080
  1971          41             0.003319        0.000000        0.001546
  1971          42             0.004520        0.004057        0.004276
  1971          43             0.001142        0.004109        0.002704
  1971          44             0.001108        0.002063        0.001603
  1971          45             0.002255        0.007436        0.004923
  1971          46             0.005620        0.003122        0.004323
  1971          47             0.000000        0.004225        0.002231
  1971          48             0.001192        0.006528        0.003981
  1971          49             0.001236        0.006532        0.004052
  1971          50             0.001369        0.007266        0.004498
  1971          51             0.007638        0.006639        0.007103
  1971          52             0.005507        0.007965        0.006823
  1971          53             0.000000        0.000000        0.000000
  1971          54             0.000000        0.003807        0.002006
  1971          55             0.004292        0.018029        0.011397
  1971          56             0.000000        0.020773        0.010764
  1971          57             0.002446        0.015157        0.009189
  1971          58             0.010424        0.016663        0.013685
  1971          59             0.008483        0.015634        0.012205
  1971          60             0.015484        0.020679        0.018143
  1971          61             0.003464        0.006279        0.004941
  1971          62             0.015652        0.003605        0.009381
  1971          63             0.004065        0.011972        0.008055
  1971          64             0.016652        0.012934        0.014826
  1971          65             0.013949        0.034584        0.023953
  1971          66             0.014949        0.043088        0.028472
  1971          67             0.011361        0.012610        0.011953
  1971          68             0.011734        0.028296        0.019242
  1971          69             0.006068        0.035611        0.019658
  1971          70             0.042272        0.069532        0.053447
  1971          71             0.050327        0.107891        0.074024
  1971          72             0.014076        0.089928        0.043281
  1971          73             0.034250        0.086644        0.055674
  1971          74             0.066451        0.111896        0.083383
  1971          75             0.102971        0.117745        0.108714
  1971          76             0.075664        0.119244        0.091222
  1971          77             0.043634        0.044017        0.043761
  1971          78             0.023269        0.126598        0.055801
  1971          79             0.068228        0.131406        0.089820
  1971          80             0.059422        0.042466        0.054029
  1971          81             0.045472        0.058243        0.050188
  1971          82             0.052496        0.069367        0.058604
  1971          83             0.079392        0.092712        0.083913
  1971          84             0.036619        0.078627        0.049967
  1971          85             0.178737        0.128562        0.162848
  1971          86             0.110428        0.166078        0.129752
  1971          87             0.193807        0.049640        0.142189
  1971          88             0.203348        0.000000        0.124771
  1971          89             0.100756        0.078647        0.092123
  1971          90             0.052526        0.265330        0.131817
  1971          91             0.121716        0.182177        0.145932
  1971          92             0.210452        0.130662        0.182579
  1971          93             0.000000        0.000000        0.000000
  1971          94             0.138058        1.102266        0.401405
  1971          95             0.685714        0.000000        0.488599
  1971          96             0.000000        0.000000        0.000000
  1971          97             0.000000        0.000000        0.000000
  1971          98             0.000000        0.000000        0.000000
  1971          99                   .        0.000000        0.000000
  1971         100                   .              .              .
  1971         101                   .              .              .
  1971         102                   .              .              .
  1971         103                   .              .              .
  1971         104                   .              .              .
  1971         105                   .              .              .
  1971         106                   .              .              .
  1971         107                   .              .              .
  1971         108                   .              .              .
  1971         109                   .              .              .
  1971         110+                  .              .              .
  1972           0             0.012131        0.020397        0.016339
  1972           1             0.002001        0.001866        0.001932
  1972           2             0.002060        0.001445        0.001743
  1972           3             0.000541        0.002041        0.001312
  1972           4             0.000000        0.001579        0.000832
  1972           5             0.000000        0.000000        0.000000
  1972           6             0.002411        0.000000        0.001169
  1972           7             0.000000        0.000000        0.000000
  1972           8             0.002314        0.001155        0.001735
  1972           9             0.001731        0.000000        0.000866
  1972          10             0.002326        0.002209        0.002266
  1972          11             0.001194        0.000000        0.000573
  1972          12             0.000000        0.001172        0.000602
  1972          13             0.000000        0.002445        0.001259
  1972          14             0.000000        0.001871        0.000971
  1972          15             0.000000        0.000000        0.000000
  1972          16             0.000000        0.002766        0.001367
  1972          17             0.002824        0.002857        0.002840
  1972          18             0.000000        0.001407        0.000699
  1972          19             0.002495        0.000000        0.001250
  1972          20             0.001148        0.001754        0.001448
  1972          21             0.001687        0.001189        0.001446
  1972          22             0.001677        0.001679        0.001678
  1972          23             0.000000        0.002169        0.001096
  1972          24             0.000000        0.001073        0.000538
  1972          25             0.000000        0.000000        0.000000
  1972          26             0.001626        0.000511        0.001053
  1972          27             0.000000        0.001714        0.000897
  1972          28             0.000000        0.001804        0.000935
  1972          29             0.000668        0.002570        0.001637
  1972          30             0.002852        0.001342        0.002075
  1972          31             0.000000        0.000699        0.000366
  1972          32             0.000789        0.002178        0.001513
  1972          33             0.000000        0.000000        0.000000
  1972          34             0.003326        0.002327        0.002811
  1972          35             0.000000        0.000831        0.000425
  1972          36             0.000000        0.000000        0.000000
  1972          37             0.000000        0.000000        0.000000
  1972          38             0.003089        0.001848        0.002436
  1972          39             0.000000        0.001940        0.001008
  1972          40             0.003209        0.000981        0.002049
  1972          41             0.001052        0.005599        0.003461
  1972          42             0.003220        0.000942        0.002010
  1972          43             0.000000        0.002958        0.001583
  1972          44             0.002222        0.004882        0.003635
  1972          45             0.005484        0.001016        0.003168
  1972          46             0.002185        0.003044        0.002629
  1972          47             0.003331        0.007027        0.005269
  1972          48             0.001169        0.003113        0.002194
  1972          49             0.002333        0.006305        0.004418
  1972          50             0.004820        0.003241        0.003990
  1972          51             0.003856        0.006899        0.005460
  1972          52             0.004500        0.007596        0.006176
  1972          53             0.003466        0.006326        0.004958
  1972          54             0.009728        0.016360        0.013150
