NSW, Death rates (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.016266        0.020912        0.018638
  1971           1             0.001169        0.001493        0.001334
  1971           2             0.000577        0.000734        0.000658
  1971           3             0.000436        0.000716        0.000579
  1971           4             0.000545        0.000589        0.000568
  1971           5             0.000398        0.000541        0.000471
  1971           6             0.000368        0.000535        0.000454
  1971           7             0.000313        0.000320        0.000317
  1971           8             0.000185        0.000460        0.000326
  1971           9             0.000342        0.000259        0.000300
  1971          10             0.000205        0.000409        0.000310
  1971          11             0.000138        0.000371        0.000258
  1971          12             0.000141        0.000537        0.000344
  1971          13             0.000309        0.000702        0.000510
  1971          14             0.000365        0.000579        0.000475
  1971          15             0.000525        0.000667        0.000598
  1971          16             0.000559        0.000898        0.000733
  1971          17             0.000740        0.002067        0.001415
  1971          18             0.000792        0.001941        0.001378
  1971          19             0.000457        0.001971        0.001230
  1971          20             0.000508        0.002157        0.001352
  1971          21             0.000658        0.002013        0.001354
  1971          22             0.000425        0.001893        0.001179
  1971          23             0.000637        0.001228        0.000941
  1971          24             0.000523        0.001762        0.001165
  1971          25             0.000680        0.001336        0.001020
  1971          26             0.000523        0.001820        0.001195
  1971          27             0.000718        0.001206        0.000970
  1971          28             0.000776        0.001276        0.001035
  1971          29             0.000568        0.001519        0.001062
  1971          30             0.000649        0.001346        0.001012
  1971          31             0.000895        0.001289        0.001099
  1971          32             0.000860        0.001623        0.001256
  1971          33             0.001001        0.001073        0.001038
  1971          34             0.001299        0.001810        0.001562
  1971          35             0.000965        0.002184        0.001594
  1971          36             0.001429        0.001785        0.001613
  1971          37             0.001820        0.001680        0.001748
  1971          38             0.001449        0.003354        0.002433
  1971          39             0.001748        0.002193        0.001977
  1971          40             0.001882        0.002463        0.002183
  1971          41             0.001868        0.002874        0.002388
  1971          42             0.002299        0.003466        0.002905
  1971          43             0.003051        0.003271        0.003165
  1971          44             0.003098        0.004771        0.003962
  1971          45             0.003277        0.004909        0.004112
  1971          46             0.003590        0.005856        0.004749
  1971          47             0.003735        0.005450        0.004603
  1971          48             0.003945        0.006827        0.005411
  1971          49             0.004847        0.007368        0.006124
  1971          50             0.005317        0.008004        0.006678
  1971          51             0.004541        0.007814        0.006183
  1971          52             0.006296        0.009857        0.008076
  1971          53             0.006746        0.011359        0.009027
  1971          54             0.006048        0.014176        0.010063
  1971          55             0.007737        0.013474        0.010581
  1971          56             0.008639        0.016483        0.012512
  1971          57             0.009037        0.016308        0.012644
  1971          58             0.010065        0.019091        0.014521
  1971          59             0.010475        0.020103        0.015167
  1971          60             0.011515        0.022003        0.016616
  1971          61             0.010789        0.023354        0.016804
  1971          62             0.014362        0.027260        0.020581
  1971          63             0.016287        0.030592        0.023124
  1971          64             0.013874        0.032065        0.022487
  1971          65             0.016098        0.036564        0.025817
  1971          66             0.017722        0.037471        0.027059
  1971          67             0.019709        0.044959        0.031569
  1971          68             0.021420        0.043769        0.031788
  1971          69             0.026700        0.047707        0.036089
  1971          70             0.033330        0.054810        0.042778
  1971          71             0.032033        0.061752        0.044556
  1971          72             0.036812        0.059759        0.046436
  1971          73             0.044179        0.071425        0.055320
  1971          74             0.043028        0.073715        0.055192
  1971          75             0.053593        0.084969        0.065744
  1971          76             0.059620        0.096962        0.073591
  1971          77             0.059641        0.090224        0.071160
  1971          78             0.076604        0.114114        0.090416
  1971          79             0.075753        0.114610        0.089938
  1971          80             0.081583        0.114767        0.093385
  1971          81             0.081650        0.115874        0.093773
  1971          82             0.104687        0.147081        0.119527
  1971          83             0.124236        0.158497        0.135849
  1971          84             0.128459        0.178772        0.145082
  1971          85             0.138896        0.190853        0.155788
  1971          86             0.161119        0.216427        0.178765
  1971          87             0.167979        0.209406        0.180879
  1971          88             0.177336        0.219739        0.190391
  1971          89             0.189165        0.258281        0.210222
  1971          90             0.201704        0.247757        0.215140
