SA, Death rates (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.014898        0.017595        0.016280
  1971           1             0.001470        0.001491        0.001481
  1971           2             0.000092        0.000975        0.000542
  1971           3             0.000464        0.000892        0.000682
  1971           4             0.000188        0.000448        0.000321
  1971           5             0.000094        0.000270        0.000184
  1971           6             0.000460        0.000000        0.000224
  1971           7             0.000360        0.000424        0.000393
  1971           8             0.000347        0.000330        0.000338
  1971           9             0.000422        0.000649        0.000538
  1971          10             0.000000        0.000081        0.000041
  1971          11             0.000000        0.000480        0.000244
  1971          12             0.000252        0.000407        0.000331
  1971          13             0.000085        0.000165        0.000126
  1971          14             0.000087        0.000084        0.000086
  1971          15             0.000532        0.000945        0.000742
  1971          16             0.000547        0.001328        0.000943
  1971          17             0.001389        0.001818        0.001605
  1971          18             0.000657        0.001785        0.001220
  1971          19             0.000664        0.002304        0.001479
  1971          20             0.001173        0.001565        0.001369
  1971          21             0.000792        0.002291        0.001539
  1971          22             0.000401        0.001384        0.000896
  1971          23             0.000693        0.000976        0.000835
  1971          24             0.000506        0.001094        0.000803
  1971          25             0.000305        0.000797        0.000554
  1971          26             0.001053        0.001703        0.001383
  1971          27             0.000603        0.000830        0.000717
  1971          28             0.000508        0.001230        0.000875
  1971          29             0.000802        0.001151        0.000980
  1971          30             0.001239        0.001705        0.001478
  1971          31             0.001118        0.001765        0.001446
  1971          32             0.000565        0.001119        0.000844
  1971          33             0.001139        0.000991        0.001065
  1971          34             0.001018        0.001723        0.001373
  1971          35             0.000735        0.001587        0.001165
  1971          36             0.001348        0.001745        0.001549
  1971          37             0.001079        0.002088        0.001592
  1971          38             0.001221        0.002517        0.001878
  1971          39             0.001037        0.002710        0.001890
  1971          40             0.001029        0.002653        0.001862
  1971          41             0.002365        0.002783        0.002579
  1971          42             0.002560        0.003220        0.002906
  1971          43             0.001239        0.002047        0.001657
  1971          44             0.002032        0.003151        0.002612
  1971          45             0.002005        0.003444        0.002742
  1971          46             0.002649        0.005324        0.004016
  1971          47             0.002276        0.005262        0.003782
  1971          48             0.002996        0.004393        0.003703
  1971          49             0.003638        0.006160        0.004903
  1971          50             0.004036        0.006444        0.005249
  1971          51             0.004519        0.007726        0.006138
  1971          52             0.005243        0.006948        0.006098
  1971          53             0.003995        0.008380        0.006180
  1971          54             0.005871        0.010880        0.008359
  1971          55             0.005234        0.011017        0.008142
  1971          56             0.005743        0.012043        0.008908
  1971          57             0.005846        0.017145        0.011505
  1971          58             0.006647        0.018830        0.012753
  1971          59             0.009246        0.018280        0.013658
  1971          60             0.008091        0.019336        0.013572
  1971          61             0.008445        0.020958        0.014418
  1971          62             0.010511        0.021456        0.015793
  1971          63             0.011652        0.023875        0.017492
  1971          64             0.014190        0.025170        0.019397
  1971          65             0.012846        0.031289        0.021598
  1971          66             0.015774        0.033657        0.024287
  1971          67             0.022350        0.040993        0.031083
  1971          68             0.021585        0.040207        0.030342
  1971          69             0.026438        0.042102        0.033576
  1971          70             0.027599        0.054971        0.039677
  1971          71             0.031677        0.061324        0.044345
  1971          72             0.029351        0.065674        0.044472
  1971          73             0.035482        0.063159        0.046731
  1971          74             0.047611        0.073846        0.057757
  1971          75             0.042240        0.088369        0.059529
  1971          76             0.050938        0.085067        0.063485
  1971          77             0.049850        0.082771        0.062224
  1971          78             0.061438        0.101857        0.076443
  1971          79             0.070208        0.101732        0.081804
  1971          80             0.066859        0.114280        0.084113
  1971          81             0.076106        0.129590        0.095433
  1971          82             0.102805        0.136802        0.115107
  1971          83             0.105569        0.169554        0.128706
  1971          84             0.113677        0.147342        0.125442
  1971          85             0.145608        0.207759        0.166232
  1971          86             0.137948        0.204002        0.159340
  1971          87             0.165104        0.238318        0.188235
  1971          88             0.157478        0.231285        0.179336
  1971          89             0.184574        0.289374        0.214496
  1971          90             0.246795        0.279525        0.256245
  1971          91             0.230799        0.247238        0.235534
  1971          92             0.234521        0.229276        0.233099
  1971          93             0.281746        0.345646        0.298187
  1971          94             0.317613        0.412817        0.341041
  1971          95             0.359865        0.401237        0.369387
  1971          96             0.283442        0.604317        0.352374
  1971          97             0.368037        0.138760        0.323494
  1971          98             0.633734        0.386349        0.583885
  1971          99             0.386250        1.522070        0.616143
  1971         100             0.796037        0.979716        0.828211
  1971         101             0.981818        1.298319        1.031036
  1971         102             1.329679        6.000000        1.457730
  1971         103             1.992857              .        1.992857
  1971         104             2.420339              .        2.420339
  1971         105             4.166667              .        4.166667
  1971         106                   .              .              .
  1971         107                   .              .              .
  1971         108                   .              .              .
  1971         109                   .              .              .
  1971         110+                  .              .              .
  1972           0             0.014536        0.018431        0.016533
  1972           1             0.000927        0.001485        0.001214
  1972           2             0.000458        0.000958        0.000714
  1972           3             0.000455        0.000792        0.000627
  1972           4             0.000735        0.000618        0.000675
  1972           5             0.000189        0.000721        0.000461
  1972           6             0.000283        0.000090        0.000185
  1972           7             0.000651        0.000615        0.000632
  1972           8             0.000091        0.000255        0.000175
  1972           9             0.000174        0.000082        0.000127
  1972          10             0.000085        0.000163        0.000125
  1972          11             0.000332        0.000642        0.000489
  1972          12             0.000412        0.000318        0.000364
  1972          13             0.000583        0.000242        0.000410
  1972          14             0.000085        0.000823        0.000460
  1972          15             0.000522        0.000925        0.000727
  1972          16             0.000622        0.000516        0.000568
  1972          17             0.000092        0.001506        0.000812
  1972          18             0.000562        0.001741        0.001158
  1972          19             0.000560        0.002162        0.001358
  1972          20             0.000669        0.001632        0.001149
  1972          21             0.000197        0.001578        0.000887
  1972          22             0.000298        0.001777        0.001040
  1972          23             0.000404        0.000887        0.000648
  1972          24             0.000403        0.000897        0.000651
  1972          25             0.000189        0.001315        0.000754
  1972          26             0.000304        0.001178        0.000748
  1972          27             0.000689        0.000892        0.000792
  1972          28             0.000825        0.000813        0.000819
  1972          29             0.000999        0.000732        0.000864
  1972          30             0.000132        0.000878        0.000514
  1972          31             0.000547        0.001815        0.001198
  1972          32             0.001536        0.001085        0.001307
  1972          33             0.000834        0.000969        0.000902
  1972          34             0.000715        0.001271        0.000994
  1972          35             0.000866        0.001434        0.001151
  1972          36             0.000580        0.001560        0.001075
  1972          37             0.000903        0.002621        0.001776
  1972          38             0.001240        0.001512        0.001378
  1972          39             0.001685        0.001325        0.001501
  1972          40             0.001078        0.002919        0.002024
  1972          41             0.001155        0.003532        0.002356
  1972          42             0.001703        0.003750        0.002756
  1972          43             0.002144        0.002592        0.002379
  1972          44             0.002077        0.003443        0.002788
  1972          45             0.001786        0.005371        0.003642
  1972          46             0.003353        0.005434        0.004424
  1972          47             0.001716        0.005470        0.003628
  1972          48             0.003928        0.003820        0.003873
  1972          49             0.004106        0.007630        0.005887
  1972          50             0.003128        0.007759        0.005442
  1972          51             0.003792        0.006307        0.005056
  1972          52             0.005177        0.010547        0.007892
  1972          53             0.003831        0.009441        0.006657
  1972          54             0.004672        0.011917        0.008258
  1972          55             0.006204        0.014861        0.010493
  1972          56             0.006520        0.010939        0.008734
  1972          57             0.006596        0.015056        0.010802
  1972          58             0.011018        0.016224        0.013618
  1972          59             0.008968        0.018319        0.013616
  1972          60             0.008460        0.021818        0.015007
  1972          61             0.009479        0.018484        0.013792
  1972          62             0.010822        0.025433        0.017756
  1972          63             0.010845        0.026488        0.018330
  1972          64             0.012634        0.030067        0.020870
  1972          65             0.013674        0.037532        0.024852
  1972          66             0.012140        0.032349        0.021724
  1972          67             0.017435        0.039977        0.027937
  1972          68             0.021138        0.044356        0.031906
  1972          69             0.023124        0.044186        0.032949
  1972          70             0.027470        0.043156        0.034608
  1972          71             0.034888        0.058891        0.045342
  1972          72             0.028606        0.063787        0.043292
  1972          73             0.024869        0.055990        0.037626
  1972          74             0.031763        0.065773        0.045417
  1972          75             0.042135        0.076031        0.055004
  1972          76             0.050300        0.085495        0.062906
  1972          77             0.055182        0.102416        0.072242
  1972          78             0.060947        0.114749        0.080443
  1972          79             0.059850        0.103335        0.075644
  1972          80             0.072521        0.128575        0.092385
  1972          81             0.083862        0.121359        0.097087
  1972          82             0.091603        0.127293        0.104167
  1972          83             0.104639        0.150414        0.120740
  1972          84             0.113748        0.146346        0.125211
  1972          85             0.103447        0.180020        0.129356
  1972          86             0.150916        0.184269        0.161522
  1972          87             0.131711        0.222120        0.159735
  1972          88             0.171503        0.263236        0.198907
  1972          89             0.194439        0.275371        0.216883
  1972          90             0.205470        0.282496        0.226212
  1972          91             0.216416        0.312850        0.243251
  1972          92             0.299710        0.339601        0.310916
  1972          93             0.275226        0.171092        0.247034
  1972          94             0.271637        0.423629        0.309492
  1972          95             0.300542        0.451739        0.334465
  1972          96             0.288273        0.074092        0.241695
  1972          97             0.291545        0.617665        0.359297
  1972          98             0.523378        0.945626        0.599914
  1972          99             0.317755        1.043478        0.413650
  1972         100             0.487734        2.601504        0.649645
  1972         101             0.562583        2.441558        0.736758
  1972         102             0.729572        6.000000        0.888679
  1972         103             1.542857              .        1.542857
  1972         104                   .              .              .
  1972         105                   .              .              .
  1972         106                   .              .              .
  1972         107                   .              .              .
  1972         108                   .              .              .
  1972         109                   .              .              .
  1972         110+                  .              .              .
  1973           0             0.010164        0.016344        0.013343
  1973           1             0.001135        0.001533        0.001338
  1973           2             0.000644        0.000951        0.000802
  1973           3             0.000273        0.000949        0.000620
  1973           4             0.000544        0.000613        0.000579
  1973           5             0.000183        0.000440        0.000314
  1973           6             0.000283        0.000090        0.000184
  1973           7             0.000094        0.000180        0.000138
  1973           8             0.000278        0.000175        0.000225
  1973           9             0.000271        0.000424        0.000350
  1973          10             0.000347        0.000246        0.000295
  1973          11             0.000000        0.000407        0.000208
  1973          12             0.000083        0.000000        0.000041
  1973          13             0.000246        0.000317        0.000282
  1973          14             0.000333        0.000242        0.000287
  1973          15             0.000512        0.000994        0.000757
  1973          16             0.000437        0.001529        0.000991
  1973          17             0.000449        0.001649        0.001059
  1973          18             0.000837        0.001967        0.001413
  1973          19             0.000189        0.001848        0.001026
  1973          20             0.000564        0.001987        0.001273
  1973          21             0.000675        0.001442        0.001059
  1973          22             0.000099        0.000985        0.000544
  1973          23             0.000100        0.001083        0.000595
  1973          24             0.000303        0.001175        0.000746
  1973          25             0.000497        0.001189        0.000844
  1973          26             0.000564        0.001214        0.000890
  1973          27             0.000303        0.000583        0.000446
  1973          28             0.000687        0.000997        0.000844
  1973          29             0.000351        0.001847        0.001103
  1973          30             0.000124        0.000605        0.000367
  1973          31             0.000393        0.000873        0.000639
  1973          32             0.000409        0.001164        0.000796
  1973          33             0.000832        0.001216        0.001026
  1973          34             0.000556        0.001793        0.001177
  1973          35             0.000429        0.001687        0.001064
  1973          36             0.000143        0.001137        0.000643
  1973          37             0.001012        0.001406        0.001212
  1973          38             0.001507        0.002192        0.001855
  1973          39             0.000931        0.002281        0.001613
  1973          40             0.002304        0.002206        0.002254
  1973          41             0.001243        0.001898        0.001581
  1973          42             0.001740        0.002696        0.002223
  1973          43             0.002413        0.002282        0.002346
  1973          44             0.001864        0.004280        0.003133
  1973          45             0.001672        0.002562        0.002136
  1973          46             0.002338        0.003710        0.003049
  1973          47             0.002690        0.005312        0.004041
  1973          48             0.004786        0.007049        0.005938
  1973          49             0.004093        0.006774        0.005451
  1973          50             0.003293        0.009017        0.006182
  1973          51             0.003276        0.007126        0.005197
  1973          52             0.005177        0.010298        0.007744
  1973          53             0.005769        0.008215        0.007003
  1973          54             0.003834        0.010258        0.007066
  1973          55             0.005377        0.009933        0.007633
  1973          56             0.006419        0.015700        0.011010
  1973          57             0.006013        0.012119        0.009054
  1973          58             0.005931        0.018649        0.012201
  1973          59             0.008552        0.018836        0.013664
  1973          60             0.008147        0.019311        0.013660
  1973          61             0.011154        0.018881        0.014913
  1973          62             0.012440        0.023088        0.017523
  1973          63             0.010675        0.027765        0.018702
  1973          64             0.013354        0.030740        0.021566
  1973          65             0.014672        0.026669        0.020288
  1973          66             0.015848        0.032319        0.023512
  1973          67             0.017335        0.046311        0.030956
  1973          68             0.018654        0.043748        0.030163
  1973          69             0.022271        0.050763        0.035286
  1973          70             0.026797        0.043822        0.034643
  1973          71             0.023586        0.048166        0.034632
  1973          72             0.030653        0.065547        0.045629
  1973          73             0.034503        0.081068        0.053526
  1973          74             0.041494        0.076732        0.055571
  1973          75             0.043102        0.076184        0.056110
  1973          76             0.049445        0.082338        0.061666
  1973          77             0.051322        0.088251        0.064232
  1973          78             0.059175        0.108424        0.076485
  1973          79             0.068167        0.111166        0.083385
  1973          80             0.066702        0.110405        0.081927
  1973          81             0.089950        0.117938        0.099601
  1973          82             0.096477        0.142208        0.112228
  1973          83             0.093499        0.168044        0.118893
  1973          84             0.107612        0.179727        0.132051
  1973          85             0.129385        0.199476        0.153078
  1973          86             0.148450        0.197563        0.164438
  1973          87             0.152920        0.233169        0.177333
  1973          88             0.174169        0.201142        0.182113
  1973          89             0.210717        0.241249        0.219499
  1973          90             0.183490        0.207229        0.189795
  1973          91             0.187022        0.242671        0.201267
  1973          92             0.212917        0.308871        0.238266
  1973          93             0.282692        0.468736        0.332945
  1973          94             0.292214        0.267201        0.285691
  1973          95             0.396614        0.325225        0.379525
  1973          96             0.306389        0.307882        0.306727
  1973          97             0.276434        0.195185        0.258500
  1973          98             0.420790        0.196786        0.377786
  1973          99             0.236500        1.740812        0.416426
  1973         100             0.435198        0.000000        0.426647
  1973         101             0.469443              .        0.469443
  1973         102             0.560311              .        0.560311
  1973         103             0.881210              .        0.881210
  1973         104             0.000000              .        0.000000
  1973         105                   .              .              .
  1973         106                   .              .              .
  1973         107                   .              .              .
  1973         108                   .              .              .
  1973         109                   .              .              .
  1973         110+                  .              .              .
  1974           0             0.012657        0.018179        0.015493
  1974           1             0.000895        0.001695        0.001306
  1974           2             0.000558        0.000713        0.000637
  1974           3             0.000635        0.000426        0.000527
  1974           4             0.000090        0.000425        0.000262
  1974           5             0.000269        0.000087        0.000176
  1974           6             0.000091        0.000435        0.000266
  1974           7             0.000373        0.000268        0.000319
  1974           8             0.000000        0.000445        0.000228
  1974           9             0.000092        0.000777        0.000446
  1974          10             0.000000        0.000168        0.000087
  1974          11             0.000086        0.000081        0.000084
  1974          12             0.000255        0.000646        0.000455
  1974          13             0.000083        0.000238        0.000162
