TAS, Death rates (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.010624        0.017834        0.014292
  1971           1             0.000251        0.000241        0.000246
  1971           2             0.000257        0.002194        0.001252
  1971           3             0.000000        0.000246        0.000125
  1971           4             0.001064        0.001281        0.001175
  1971           5             0.001074        0.000258        0.000659
  1971           6             0.000784        0.001011        0.000899
  1971           7             0.000253        0.000483        0.000371
  1971           8             0.000971        0.000462        0.000710
  1971           9             0.000239        0.000682        0.000466
  1971          10             0.000940        0.000447        0.000688
  1971          11             0.000000        0.000226        0.000115
  1971          12             0.000000        0.000693        0.000355
  1971          13             0.000247        0.000948        0.000604
  1971          14             0.000762        0.000961        0.000864
  1971          15             0.000775        0.000504        0.000638
  1971          16             0.000527        0.001559        0.001046
  1971          17             0.001376        0.003587        0.002480
  1971          18             0.000872        0.003733        0.002311
  1971          19             0.000301        0.003481        0.001921
  1971          20             0.000944        0.002684        0.001837
  1971          21             0.000944        0.004020        0.002495
  1971          22             0.000628        0.002493        0.001564
  1971          23             0.000311        0.002420        0.001379
  1971          24             0.001271        0.000302        0.000774
  1971          25             0.000323        0.001833        0.001098
  1971          26             0.000366        0.002450        0.001432
  1971          27             0.000762        0.001801        0.001296
  1971          28             0.001184        0.000728        0.000947
  1971          29             0.001636        0.001155        0.001388
  1971          30             0.000413        0.000390        0.000401
  1971          31             0.000000        0.001190        0.000614
  1971          32             0.001306        0.002020        0.001676
  1971          33             0.001323        0.002110        0.001725
  1971          34             0.000440        0.000431        0.000435
  1971          35             0.000454        0.003560        0.002023
  1971          36             0.002792        0.000451        0.001604
  1971          37             0.000483        0.001814        0.001169
  1971          38             0.001895        0.001363        0.001623
  1971          39             0.000924        0.003549        0.002264
  1971          40             0.000459        0.003048        0.001788
  1971          41             0.000892        0.003749        0.002369
  1971          42             0.000455        0.003392        0.001976
  1971          43             0.001375        0.002979        0.002207
  1971          44             0.002224        0.004627        0.003459
  1971          45             0.004477        0.005470        0.004989
  1971          46             0.000866        0.007074        0.004031
  1971          47             0.003083        0.002967        0.003024
  1971          48             0.003499        0.005592        0.004554
  1971          49             0.005215        0.009752        0.007512
  1971          50             0.006199        0.008055        0.007122
  1971          51             0.004700        0.008001        0.006349
  1971          52             0.006116        0.011152        0.008641
  1971          53             0.005229        0.013468        0.009368
  1971          54             0.005752        0.012017        0.008885
  1971          55             0.006593        0.013839        0.010197
  1971          56             0.004674        0.012522        0.008589
  1971          57             0.008357        0.013769        0.011095
  1971          58             0.008649        0.018173        0.013507
  1971          59             0.009372        0.020464        0.014909
  1971          60             0.017436        0.018945        0.018184
  1971          61             0.009560        0.023624        0.016452
  1971          62             0.011527        0.025845        0.018564
  1971          63             0.011266        0.025233        0.018150
  1971          64             0.015147        0.029403        0.022130
  1971          65             0.017055        0.032736        0.024792
  1971          66             0.017834        0.026849        0.022233
  1971          67             0.016893        0.039530        0.027989
  1971          68             0.028861        0.046460        0.037174
  1971          69             0.024283        0.044982        0.033784
  1971          70             0.031165        0.063565        0.046059
  1971          71             0.034445        0.056512        0.044189
  1971          72             0.041789        0.058724        0.049225
  1971          73             0.035926        0.065718        0.048543
  1971          74             0.043342        0.081303        0.058617
  1971          75             0.056096        0.081805        0.066156
  1971          76             0.044637        0.084383        0.059843
  1971          77             0.064106        0.079257        0.069827
  1971          78             0.085094        0.111849        0.095025
  1971          79             0.081449        0.105160        0.090196
  1971          80             0.093144        0.094088        0.093489
  1971          81             0.083550        0.121547        0.097079
  1971          82             0.118904        0.129128        0.122568
  1971          83             0.127790        0.165293        0.141873
  1971          84             0.099227        0.114520        0.104878
  1971          85             0.170149        0.135202        0.158065
