VIC, Death rates (period 1x1), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.014301        0.015981        0.015157
  1971           1             0.000986        0.000983        0.000985
  1971           2             0.000812        0.000611        0.000710
  1971           3             0.000378        0.000694        0.000539
  1971           4             0.000422        0.000576        0.000501
  1971           5             0.000273        0.000551        0.000415
  1971           6             0.000396        0.000495        0.000447
  1971           7             0.000330        0.000622        0.000480
  1971           8             0.000385        0.000251        0.000316
  1971           9             0.000146        0.000501        0.000328
  1971          10             0.000029        0.000394        0.000216
  1971          11             0.000177        0.000281        0.000231
  1971          12             0.000272        0.000432        0.000354
  1971          13             0.000365        0.000231        0.000296
  1971          14             0.000311        0.000267        0.000288
  1971          15             0.000379        0.000786        0.000587
  1971          16             0.000387        0.000677        0.000535
  1971          17             0.000454        0.001507        0.000989
  1971          18             0.000660        0.002009        0.001346
  1971          19             0.001079        0.001947        0.001518
  1971          20             0.000761        0.002306        0.001541
  1971          21             0.000560        0.001992        0.001278
  1971          22             0.000492        0.001874        0.001182
  1971          23             0.000582        0.001547        0.001065
  1971          24             0.000710        0.001761        0.001238
  1971          25             0.000592        0.001028        0.000813
  1971          26             0.000777        0.000964        0.000872
  1971          27             0.000390        0.001491        0.000953
  1971          28             0.000321        0.001345        0.000844
  1971          29             0.000673        0.000947        0.000814
  1971          30             0.000645        0.001527        0.001101
  1971          31             0.000972        0.001759        0.001381
  1971          32             0.000726        0.001445        0.001098
  1971          33             0.000780        0.001394        0.001095
  1971          34             0.000832        0.001063        0.000950
  1971          35             0.000756        0.002077        0.001432
  1971          36             0.001192        0.002013        0.001611
  1971          37             0.001093        0.001703        0.001405
  1971          38             0.001301        0.002220        0.001774
  1971          39             0.001307        0.002004        0.001666
  1971          40             0.001449        0.002386        0.001934
  1971          41             0.001473        0.002585        0.002048
  1971          42             0.002535        0.003036        0.002795
  1971          43             0.002392        0.003407        0.002916
  1971          44             0.002553        0.004394        0.003504
  1971          45             0.002870        0.004961        0.003939
  1971          46             0.003274        0.005782        0.004557
  1971          47             0.003860        0.005532        0.004705
  1971          48             0.003969        0.007011        0.005514
  1971          49             0.003985        0.008303        0.006155
  1971          50             0.004572        0.007737        0.006170
  1971          51             0.004574        0.008894        0.006740
  1971          52             0.004724        0.009635        0.007177
  1971          53             0.005911        0.010555        0.008217
  1971          54             0.005152        0.013676        0.009372
  1971          55             0.007013        0.012993        0.009970
  1971          56             0.007473        0.014522        0.010937
  1971          57             0.007003        0.015386        0.011146
  1971          58             0.007476        0.018640        0.012999
  1971          59             0.008174        0.020168        0.014057
  1971          60             0.008960        0.021025        0.014821
  1971          61             0.011685        0.021252        0.016286
  1971          62             0.014062        0.026937        0.020273
  1971          63             0.013919        0.028244        0.020769
  1971          64             0.014411        0.031313        0.022416
  1971          65             0.018454        0.034056        0.025877
  1971          66             0.017489        0.038605        0.027478
  1971          67             0.021061        0.041118        0.030502
  1971          68             0.020643        0.045524        0.032221
  1971          69             0.023534        0.052703        0.036630
  1971          70             0.029084        0.054748        0.040353
  1971          71             0.032382        0.059384        0.043866
  1971          72             0.034236        0.062412        0.046098
  1971          73             0.038402        0.061729        0.047954
  1971          74             0.046682        0.075473        0.057997
  1971          75             0.052900        0.090995        0.067470
  1971          76             0.055427        0.103385        0.073450
  1971          77             0.058321        0.092981        0.071151
  1971          78             0.072506        0.112961        0.087440
  1971          79             0.077353        0.112942        0.090012
  1971          80             0.085921        0.126256        0.100049
  1971          81             0.082072        0.133818        0.100047
  1971          82             0.100960        0.144027        0.115641
  1971          83             0.107228        0.161606        0.125447
  1971          84             0.130768        0.190297        0.150368
  1971          85             0.148860        0.177695        0.158106
  1971          86             0.172606        0.234929        0.191977
  1971          87             0.164082        0.250422        0.189529
  1971          88             0.172120        0.278534        0.201769
  1971          89             0.187230        0.274032        0.210711
  1971          90             0.217792        0.211802        0.216227
  1971          91             0.223469        0.291568        0.240548
  1971          92             0.227749        0.324617        0.252299
