Year,mar,jun,sep,dec,Annual
2025,140.7,141.7,143.6,,
2024,137.4,138.8,139.1,139.4,138.7
2023,132.6,133.7,135.3,136.1,134.4
2022,123.9,126.1,128.4,130.8,127.3
2021,117.9,118.8,119.7,121.3,119.4
2020,116.6,114.4,116.2,117.2,116.1
2019,114.1,114.8,115.4,116.2,115.1
2018,112.6,113,113.5,114.1,113.3
2017,110.5,110.7,111.4,112.1,111.2
2016,108.2,108.6,109.4,110,109.1
2015,106.8,107.5,108,108.4,107.7
2014,105.4,105.9,106.4,106.6,106.1
2013,102.4,102.8,104,104.8,103.5
2012,99.9,100.4,101.8,102,101
2011,98.3,99.2,99.8,99.8,99.3
2010,95.2,95.8,96.5,96.9,96.1
2009,92.5,92.9,93.8,94.3,93.4
2008,90.3,91.6,92.7,92.4,91.8
2007,86.6,87.7,88.3,89.1,87.9
2006,84.5,85.9,86.7,86.6,85.9
2005,82.1,82.6,83.4,83.8,83
2004,80.2,80.6,80.9,81.5,80.8
2003,78.6,78.6,79.1,79.5,78.9
2002,76.1,76.6,77.1,77.6,76.9
2001,73.9,74.5,74.7,75.4,74.6
2000,69.7,70.2,72.9,73.1,71.5
1999,67.8,68.1,68.7,69.1,68.4
1998,67,67.4,67.5,67.8,67.4
1997,67.1,66.9,66.6,66.8,66.9
1996,66.2,66.7,66.9,67,66.7
1995,63.8,64.7,65.5,66,65
1994,61.5,61.9,62.3,62.8,62.1
1993,60.6,60.8,61.1,61.2,60.9
1992,59.9,59.7,59.8,60.1,59.9
1991,58.9,59,59.3,59.9,59.3
1990,56.2,57.1,57.5,59,57.5
